example_id                                                            | status  | run_time               |
--------------------------------------------------------------------- | ------- | ---------------------- |
./spec/integration/aws_auto_scaling_group_spec.rb[1:1:1:1]            | passed  | 16.8 seconds           |
./spec/integration/aws_auto_scaling_group_spec.rb[1:1:1:2]            | passed  | 2 minutes 36.1 seconds |
./spec/integration/aws_auto_scaling_group_spec.rb[1:1:1:3:1]          | passed  | 17.59 seconds          |
./spec/integration/aws_auto_scaling_group_spec.rb[1:1:1:4]            | passed  | 2 minutes 35.7 seconds |
./spec/integration/aws_auto_scaling_group_spec.rb[1:1:1:5:1]          | passed  | 0.93488 seconds        |
./spec/integration/aws_auto_scaling_group_spec.rb[1:1:1:5:2]          | passed  | 0.94444 seconds        |
./spec/integration/aws_cache_subnet_group_spec.rb[1:1:1:1]            | passed  | 1.37 seconds           |
./spec/integration/aws_cloudsearch_domain_spec.rb[1:1:1:1]            | passed  | 3.45 seconds           |
./spec/integration/aws_cloudsearch_domain_spec.rb[1:1:1:2]            | passed  | 0.16053 seconds        |
./spec/integration/aws_cloudwatch_alarm_spec.rb[1:1:1:1]              | passed  | 2.55 seconds           |
./spec/integration/aws_cloudwatch_alarm_spec.rb[1:1:1:2]              | passed  | 2.84 seconds           |
./spec/integration/aws_cloudwatch_alarm_spec.rb[1:1:1:3:1]            | unknown |                        |
./spec/integration/aws_cloudwatch_alarm_spec.rb[1:1:1:4:1]            | passed  | 3.29 seconds           |
./spec/integration/aws_cloudwatch_alarm_spec.rb[1:1:1:4:2]            | unknown |                        |
./spec/integration/aws_cloudwatch_alarm_spec.rb[1:1:1:4:3]            | unknown |                        |
./spec/integration/aws_cloudwatch_alarm_spec.rb[1:1:1:5:1]            | failed  | 3.92 seconds           |
./spec/integration/aws_dhcp_options_spec.rb[1:1:1:1]                  | passed  | 1.52 seconds           |
./spec/integration/aws_dhcp_options_spec.rb[1:1:1:2]                  | passed  | 1.95 seconds           |
./spec/integration/aws_dhcp_options_spec.rb[1:1:1:3:1]                | passed  | 1.22 seconds           |
./spec/integration/aws_dhcp_options_spec.rb[1:1:1:3:2]                | passed  | 1.29 seconds           |
./spec/integration/aws_ebs_volume_spec.rb[1:1:1:1]                    | passed  | 8.75 seconds           |
./spec/integration/aws_ebs_volume_spec.rb[1:1:1:2:1]                  | passed  | 10.94 seconds          |
./spec/integration/aws_ebs_volume_spec.rb[1:1:1:3]                    | passed  | 8.52 seconds           |
./spec/integration/aws_ebs_volume_spec.rb[1:1:1:4]                    | passed  | 9.06 seconds           |
./spec/integration/aws_ebs_volume_spec.rb[1:1:1:5]                    | passed  | 9.31 seconds           |
./spec/integration/aws_ebs_volume_spec.rb[1:1:1:6]                    | passed  | 9.11 seconds           |
./spec/integration/aws_ebs_volume_spec.rb[1:1:1:7:1]                  | passed  | 9.71 seconds           |
./spec/integration/aws_ebs_volume_spec.rb[1:1:1:7:2]                  | passed  | 14.23 seconds          |
./spec/integration/aws_ebs_volume_spec.rb[1:1:1:7:3]                  | passed  | 8.98 seconds           |
./spec/integration/aws_eip_address_spec.rb[1:1:1:1]                   | passed  | 1.22 seconds           |
./spec/integration/aws_eip_address_spec.rb[1:1:1:2]                   | passed  | 0.12691 seconds        |
./spec/integration/aws_eip_address_spec.rb[1:1:1:3:1]                 | passed  | 0.76053 seconds        |
./spec/integration/aws_eip_address_spec.rb[1:1:1:3:2]                 | passed  | 0.7227 seconds         |
./spec/integration/aws_eip_address_spec.rb[1:1:1:4:1]                 | passed  | 0.66903 seconds        |
./spec/integration/aws_eip_address_spec.rb[1:1:1:5:1]                 | unknown |                        |
./spec/integration/aws_elasticsearch_domain_spec.rb[1:1:1:1]          | passed  | 0.49115 seconds        |
./spec/integration/aws_elasticsearch_domain_spec.rb[1:1:1:2]          | passed  | 3.25 seconds           |
./spec/integration/aws_elasticsearch_domain_spec.rb[1:1:1:3:1]        | passed  | 2.18 seconds           |
./spec/integration/aws_elasticsearch_domain_spec.rb[1:1:1:3:2]        | passed  | 1.29 seconds           |
./spec/integration/aws_elasticsearch_domain_spec.rb[1:1:1:3:3]        | passed  | 1.74 seconds           |
./spec/integration/aws_elasticsearch_domain_spec.rb[1:1:1:3:4]        | passed  | 3.37 seconds           |
./spec/integration/aws_iam_instance_profile_spec.rb[1:1:1:1]          | passed  | 0.9686 seconds         |
